Mice;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_crit_EP;Appetitive_extinction_crit_MP;Appetitive_extinction_crit_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_crit_EP;Appetitive_reinstatement_crit_MP;Appetitive_reinstatement_crit_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Criteria_EP;Criteria_MP;Criteria_LP;Addiction_prediction_EP;Addiction_prediction_MP;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
12A;Non_Addict;31,67;11,67;14,00;8,00;-12,00;-9,67;5,83;34,70;19,30;29,60;20,40;14,90;11,40;19,90;14,60;7,58;350;120;180;2145;470;951;3;1;0;1;0;0;192,33;34,00;98,33;82,00;-76,33;-12,00;34,00;165,70;54,30;63,70;31,80;47,35;49,70;63,30;66,20;85,88;175;200;0;9;10;5;184;210;5;4,89;4,76;100,00;95,11;95,24;0,00;151;120;-28;222;174;4;140;206;149;No;Yes;No;57,50;99,31;69,57;Yes;Yes;No;888,24;12000,00;-100,00;5;152;126;10;153;129;97,95;35,32;-1,61;33,47;30,43;34,10;-11,17;0,13;-2,90;22,17;37,10;24,30;26,90;22,50;32,65;25,50;34,30;37,70;35,13;1;0;0;Res;Res;NA;28,64;30,64;32,10;-0,85;1,25;2,05;10;42,33;98,05;91,08
13A;Non_Addict;48,00;23,67;5,00;-0,33;-24,67;-43,33;4,50;32,25;26,20;37,10;41,80;20,15;24,40;19,10;14,85;12,71;260;225;180;1507;1172;943;3;1;0;1;0;0;42,00;51,00;80,67;-4,67;4,33;34,00;14,33;50,10;42,10;31,60;49,50;43,75;37,60;112,90;47,45;55,04;205;234;284;40;104;290;245;338;574;16,33;30,77;50,52;83,67;69,23;49,48;6;29;0;102;88;2;176;142;177;No;No;Yes;0,00;64,71;100,00;No;Yes;No;13,04;161,11;0,00;107;65;138;132;87;138;35,15;59,38;53,38;30,63;27,53;32,43;-19,33;-0,03;-3,13;11,33;31,15;28,20;23,30;28,00;28,90;27,70;32,90;27,87;33,88;1;0;0;Res;Res;NA;28,17;32,24;34,41;0,38;4,1;6,6;8;34,33;88,93;92,88
3B;;52,00;1,00;16,67;17,00;-34,00;-18,33;5,17;50,35;51,10;28,50;27,90;16,95;22,00;13,80;13,50;11,67;260;180;260;1243;942;1385;6;2;1;0;0;0;240,67;89,00;80,00;78,67;-73,00;-82,00;29,33;185,10;95,90;74,30;106,00;99,80;85,80;83,50;46,10;65,54;80;40;192;10;17;136;90;57;328;11,11;29,82;41,46;88,89;70,18;58,54;154;25;46;301;98;231;344;211;353;Yes;Yes;No;70,68;90,65;56,86;Yes;Yes;Yes;394,87;192,31;104,55;164;65;119;184;71;120;69,29;69,34;52,78;48,60;41,63;41,90;-28,83;7,27;0,30;12,50;47,30;44,85;45,10;42,20;43,35;37,90;42,60;40,00;41,71;2;0;0;Vul;Res;NA;24,50;27,85;27,99;0,1;3,53;4,54;11;58,33;97,97;93,52
4B;Non_Addict;37,33;8,67;12,00;13,67;-15,00;-11,67;5,83;24,30;14,90;15,90;13,10;13,10;10,20;20,20;16,20;11,54;155;180;155;661;855;720;2;1;0;1;0;0;76,00;61,33;15,00;29,67;15,00;-31,33;24,17;60,30;36,90;47,20;72,70;47,40;17,10;34,20;23,90;10,50;134;347;118;15;10;12;149;357;130;10,07;2,80;9,23;89,93;97,20;90,77;72;3;-2;185;164;20;147;392;87;Yes;Yes;Yes;70,15;83,59;89,58;Yes;No;No;360,00;14,29;-40,00;3;46;48;7;56;57;98,80;61,34;61,60;35,27;28,60;22,60;-4,17;4,60;-2,07;26,50;35,20;32,70;30,50;33,60;27,60;25,60;32,10;26,30;22,33;0;0;0;Res;Res;NA;27,32;30,69;34,45;-0,05;3,1;6,85;6;40,67;84,59;93,99
5B;Non_Addict;1,67;16,00;4,00;0,33;14,67;2,67;2,50;11,65;60,90;57,70;42,00;31,75;17,20;16,30;16,40;5,96;260;260;180;1383;1493;851;5;2;1;1;1;0;1,33;213,00;44,67;-0,33;211,33;43,00;1,33;21,80;284,50;216,30;252,40;196,15;115,10;117,70;100,30;90,58;956;365;243;62;56;38;1018;421;281;6,09;13,30;13,52;93,91;86,70;86,48;15;66;10;141;220;58;286;196;251;No;No;Yes;58,76;50,00;91,34;No;Yes;No;37,50;300,00;90,91;158;0;67;180;0;67;18,13;100,00;82,32;23,93;54,23;43,87;4,83;19,93;50,23;8,83;12,90;54,10;60,10;65,50;59,85;43,10;55,70;43,90;46,42;0;0;0;Res;Res;NA;29,28;34,48;38,51;1,17;6,98;10,08;6;13,67;95,45;93,50
8B;;7,00;12,00;18,00;2,00;7,00;13,00;0,17;24,85;43,40;23,80;26,30;18,20;16,50;8,90;26,70;9,13;180;410;260;817;2507;1382;5;2;1;3;0;0;20,33;191,67;107,33;4,67;176,00;91,67;29,17;69,20;108,40;115,00;194,10;149,90;114,50;124,40;93,70;127,83;277;257;504;268;171;157;545;428;661;49,17;39,95;23,75;50,83;60,05;76,25;255;254;23;403;429;409;261;269;319;No;Yes;No;54,65;92,76;59,14;Yes;Yes;No;653,85;2309,09;30,26;191;134;185;225;143;191;38,59;48,26;49,04;26,73;46,93;43,23;-0,17;14,40;34,60;12,17;23,30;33,30;38,10;50,70;48,00;41,60;46,60;40,20;45,21;0;1;0;Res;Res;NA;31,28;36,43;38,25;2,14;6,58;8,52;12;16,67;83,16;86,67
9B;;24,67;6,00;16,33;13,00;-5,67;4,67;6,50;25,40;35,20;20,90;37,50;11,15;17,30;9,20;25,00;11,54;225;155;300;1065;712;1615;8;1;1;4;1;0;12,67;41,67;84,33;4,33;33,33;76,00;16,67;32,55;50,50;32,10;45,20;33,95;36,70;65,60;104,60;68,21;214;136;261;15;8;7;229;144;268;6,55;5,56;2,61;93,45;94,44;97,39;168;229;204;260;359;522;203;79;388;Yes;Yes;Yes;85,32;88,89;70,94;Yes;Yes;Yes;1050,00;3816,67;345,76;132;97;196;144;100;199;44,07;6,73;42,01;32,47;38,17;46,97;12,00;19,80;25,50;24,67;29,60;40,00;40,30;46,10;39,55;37,50;46,50;47,80;47,63;1;0;0;Res;Res;NA;27,47;30,43;32,58;0,97;2,65;5,05;5;29,33;92,06;92,42
10B;Non_Addict;0,00;5,00;6,33;0,00;5,00;6,33;0,00;18,40;33,80;17,60;12,90;7,60;4,50;3,20;2,90;7,25;155;120;120;725;527;550;2;0;0;0;0;0;0,00;19,33;44,67;0,00;19,33;44,67;0,00;11,55;14,20;14,30;22,10;22,75;14,70;38,00;24,20;29,21;104;97;57;9;9;5;113;106;62;7,96;8,49;8,06;92,04;91,51;91,94;89;23;-1;168;30;9;170;49;35;No;Yes;Yes;-66,67;97,56;93,10;Yes;Yes;No;222,50;2300,00;-50,00;2;29;52;3;40;52;98,44;61,84;70,29;13,90;22,27;27,93;0,17;12,90;21,27;1,17;10,15;23,90;28,30;24,20;23,00;21,00;24,90;25,30;28,67;0;0;0;Res;Res;NA;28,93;33,79;37,14;0,48;4,84;7,91;17;23,00;91,04;88,41
12B;;48,00;23,67;20,00;9,00;-15,33;-19,00;7,33;37,45;27,80;47,00;11,80;11,95;8,20;8,30;12,70;15,04;225;300;225;1034;1872;1159;4;2;1;0;1;0;76,33;59,67;59,67;13,67;-3,00;-3,00;10,83;67,75;49,80;59,10;58,50;81,75;32,20;65,60;43,90;92,04;198;141;147;48;6;5;246;147;152;19,51;4,08;3,29;80,49;95,92;96,71;113;16;221;281;46;284;295;93;171;No;Yes;Yes;1,47;100,00;89,47;Yes;Yes;Yes;168,66;1500,00;1841,67;3;0;206;9;0;212;98,85;100,00;55,98;31,10;35,17;45,13;-17,00;5,10;9,17;9,00;32,05;29,40;31,80;37,80;40,75;28,50;44,00;42,10;47,33;1;1;0;Res;Res;NA;26,96;30,74;32,47;0,11;3,62;5,74;9;26,00;90,01;89,74
4C;Non_Addict;19,67;20,67;7,00;1,67;2,67;-11,00;4,33;36,70;17,20;35,50;45,10;18,45;18,00;24,10;12,50;14,54;180;225;120;944;1039;550;5;2;1;2;0;0;48,67;121,67;131,00;21,67;94,67;104,00;17,17;60,85;50,60;88,20;185,50;104,15;76,10;185,60;168,20;101,96;150;215;187;15;17;17;165;232;204;9,09;7,33;8,33;90,91;92,67;91,67;165;37;1;235;110;88;154;293;112;Yes;Yes;Yes;84,51;87,43;96,74;Yes;Yes;No;1500,00;160,87;33,33;257;153;66;277;165;76;25,72;39,76;79,25;39,10;46,27;49,77;0,50;19,77;26,93;19,83;38,55;34,80;44,50;55,40;43,80;42,60;51,90;55,70;49,88;0;0;0;Res;Res;NA;25,67;27,94;30,75;0,315;1,945;4,715;11;45,67;95,97;95,13
