mouse_id;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
12A;Non_Addict;31,67;11,67;14;8;-12;-9,67;5,83;34,7;19,3;29,6;20,4;14,9;11,4;19,9;14,6;7,58;350;120;180;2145;470;951;3;1;0;1;0;0;192,33;34;98,33;82;-76,33;-12;34;165,7;54,3;63,7;31,8;47,35;49,7;63,3;66,2;85,88;175;200;0;9;10;5;184;210;5;4,89;4,76;100;95,11;95,24;0;151;120;-28;222;174;4;140;206;149;57,5;99,31;69,57;888,24;12000;-100;5;152;126;10;153;129;97,95;35,32;-1,61;33,47;30,43;34,1;-11,17;0,13;-2,9;22,17;37,1;24,3;26,9;22,5;32,65;25,5;34,3;37,7;35,13;NA;28,64;30,64;32,1;-0,85;1,25;2,05;10;42,33;98,05;91,08
13A;Non_Addict;48;23,67;5;-0,33;-24,67;-43,33;4,5;32,25;26,2;37,1;41,8;20,15;24,4;19,1;14,85;12,71;260;225;180;1507;1172;943;3;1;0;1;0;0;42;51;80,67;-4,67;4,33;34;14,33;50,1;42,1;31,6;49,5;43,75;37,6;112,9;47,45;55,04;205;234;284;40;104;290;245;338;574;16,33;30,77;50,52;83,67;69,23;49,48;6;29;0;102;88;2;176;142;177;0;64,71;100;13,04;161,11;0;107;65;138;132;87;138;35,15;59,38;53,38;30,63;27,53;32,43;-19,33;-0,03;-3,13;11,33;31,15;28,2;23,3;28;28,9;27,7;32,9;27,87;33,88;NA;28,17;32,24;34,41;0,38;4,1;6,6;8;34,33;88,93;92,88
3B;;52;1;16,67;17;-34;-18,33;5,17;50,35;51,1;28,5;27,9;16,95;22;13,8;13,5;11,67;260;180;260;1243;942;1385;6;2;1;0;0;0;240,67;89;80;78,67;-73;-82;29,33;185,1;95,9;74,3;106;99,8;85,8;83,5;46,1;65,54;80;40;192;10;17;136;90;57;328;11,11;29,82;41,46;88,89;70,18;58,54;154;25;46;301;98;231;344;211;353;70,68;90,65;56,86;394,87;192,31;104,55;164;65;119;184;71;120;69,29;69,34;52,78;48,6;41,63;41,9;-28,83;7,27;0,3;12,5;47,3;44,85;45,1;42,2;43,35;37,9;42,6;40;41,71;NA;24,5;27,85;27,99;0,1;3,53;4,54;11;58,33;97,97;93,52
4B;Non_Addict;37,33;8,67;12;13,67;-15;-11,67;5,83;24,3;14,9;15,9;13,1;13,1;10,2;20,2;16,2;11,54;155;180;155;661;855;720;2;1;0;1;0;0;76;61,33;15;29,67;15;-31,33;24,17;60,3;36,9;47,2;72,7;47,4;17,1;34,2;23,9;10,5;134;347;118;15;10;12;149;357;130;10,07;2,8;9,23;89,93;97,2;90,77;72;3;-2;185;164;20;147;392;87;70,15;83,59;89,58;360;14,29;-40;3;46;48;7;56;57;98,8;61,34;61,6;35,27;28,6;22,6;-4,17;4,6;-2,07;26,5;35,2;32,7;30,5;33,6;27,6;25,6;32,1;26,3;22,33;NA;27,32;30,69;34,45;-0,05;3,1;6,85;6;40,67;84,59;93,99
5B;Non_Addict;1,67;16;4;0,33;14,67;2,67;2,5;11,65;60,9;57,7;42;31,75;17,2;16,3;16,4;5,96;260;260;180;1383;1493;851;5;2;1;1;1;0;1,33;213;44,67;-0,33;211,33;43;1,33;21,8;284,5;216,3;252,4;196,15;115,1;117,7;100,3;90,58;956;365;243;62;56;38;1018;421;281;6,09;13,3;13,52;93,91;86,7;86,48;15;66;10;141;220;58;286;196;251;58,76;50;91,34;37,5;300;90,91;158;0;67;180;0;67;18,13;100;82,32;23,93;54,23;43,87;4,83;19,93;50,23;8,83;12,9;54,1;60,1;65,5;59,85;43,1;55,7;43,9;46,42;NA;29,28;34,48;38,51;1,17;6,98;10,08;6;13,67;95,45;93,5
8B;;7;12;18;2;7;13;0,17;24,85;43,4;23,8;26,3;18,2;16,5;8,9;26,7;9,13;180;410;260;817;2507;1382;5;2;1;3;0;0;20,33;191,67;107,33;4,67;176;91,67;29,17;69,2;108,4;115;194,1;149,9;114,5;124,4;93,7;127,83;277;257;504;268;171;157;545;428;661;49,17;39,95;23,75;50,83;60,05;76,25;255;254;23;403;429;409;261;269;319;54,65;92,76;59,14;653,85;2309,09;30,26;191;134;185;225;143;191;38,59;48,26;49,04;26,73;46,93;43,23;-0,17;14,4;34,6;12,17;23,3;33,3;38,1;50,7;48;41,6;46,6;40,2;45,21;NA;31,28;36,43;38,25;2,14;6,58;8,52;12;16,67;83,16;86,67
9B;;24,67;6;16,33;13;-5,67;4,67;6,5;25,4;35,2;20,9;37,5;11,15;17,3;9,2;25;11,54;225;155;300;1065;712;1615;8;1;1;4;1;0;12,67;41,67;84,33;4,33;33,33;76;16,67;32,55;50,5;32,1;45,2;33,95;36,7;65,6;104,6;68,21;214;136;261;15;8;7;229;144;268;6,55;5,56;2,61;93,45;94,44;97,39;168;229;204;260;359;522;203;79;388;85,32;88,89;70,94;1050;3816,67;345,76;132;97;196;144;100;199;44,07;6,73;42,01;32,47;38,17;46,97;12;19,8;25,5;24,67;29,6;40;40,3;46,1;39,55;37,5;46,5;47,8;47,63;NA;27,47;30,43;32,58;0,97;2,65;5,05;5;29,33;92,06;92,42
10B;Non_Addict;0;5;6,33;0;5;6,33;0;18,4;33,8;17,6;12,9;7,6;4,5;3,2;2,9;7,25;155;120;120;725;527;550;2;0;0;0;0;0;0;19,33;44,67;0;19,33;44,67;0;11,55;14,2;14,3;22,1;22,75;14,7;38;24,2;29,21;104;97;57;9;9;5;113;106;62;7,96;8,49;8,06;92,04;91,51;91,94;89;23;-1;168;30;9;170;49;35;-66,67;97,56;93,1;222,5;2300;-50;2;29;52;3;40;52;98,44;61,84;70,29;13,9;22,27;27,93;0,17;12,9;21,27;1,17;10,15;23,9;28,3;24,2;23;21;24,9;25,3;28,67;NA;28,93;33,79;37,14;0,48;4,84;7,91;17;23;91,04;88,41
12B;;48;23,67;20;9;-15,33;-19;7,33;37,45;27,8;47;11,8;11,95;8,2;8,3;12,7;15,04;225;300;225;1034;1872;1159;4;2;1;0;1;0;76,33;59,67;59,67;13,67;-3;-3;10,83;67,75;49,8;59,1;58,5;81,75;32,2;65,6;43,9;92,04;198;141;147;48;6;5;246;147;152;19,51;4,08;3,29;80,49;95,92;96,71;113;16;221;281;46;284;295;93;171;1,47;100;89,47;168,66;1500;1841,67;3;0;206;9;0;212;98,85;100;55,98;31,1;35,17;45,13;-17;5,1;9,17;9;32,05;29,4;31,8;37,8;40,75;28,5;44;42,1;47,33;NA;26,96;30,74;32,47;0,11;3,62;5,74;9;26;90,01;89,74
4C;Non_Addict;19,67;20,67;7;1,67;2,67;-11;4,33;36,7;17,2;35,5;45,1;18,45;18;24,1;12,5;14,54;180;225;120;944;1039;550;5;2;1;2;0;0;48,67;121,67;131;21,67;94,67;104;17,17;60,85;50,6;88,2;185,5;104,15;76,1;185,6;168,2;101,96;150;215;187;15;17;17;165;232;204;9,09;7,33;8,33;90,91;92,67;91,67;165;37;1;235;110;88;154;293;112;84,51;87,43;96,74;1500;160,87;33,33;257;153;66;277;165;76;25,72;39,76;79,25;39,1;46,27;49,77;0,5;19,77;26,93;19,83;38,55;34,8;44,5;55,4;43,8;42,6;51,9;55,7;49,88;NA;25,67;27,94;30,75;0,315;1,945;4,715;11;45,67;95,97;95,13
