mouse_id;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
5C;;27;15,33;7,33;15,67;4;-4;0,5;21,7;30,9;52,6;42,7;18,6;25,8;44,7;26,1;17,71;120;300;260;491;1631;1430;2;1;1;1;0;0;34,67;188,33;105,67;6,67;160,33;77,67;0,5;52,25;144,6;205,7;299,8;218,45;211,8;263,8;151,7;123,13;524;577;415;28;26;67;552;603;482;5,07;4,31;13,9;94,93;95,69;86,1;39;68;-9;300;272;57;344;497;174;-80,77;62;80,7;41,49;119,3;-40,91;188;323;37;215;345;37;33,33;40,52;90,03;22,2;59,67;53,9;-9;10,53;48;2,67;19,5;40,3;59,1;65,3;57,1;64,7;66;56,1;54,79;NA;29,22;31,86;33,86;-0,16;2,73;4,34;13;17;89,56;92,16
7C;;46;56,33;11;-5;5,33;-40;13,83;47,05;22,7;23,4;20,3;27,75;16,9;29,5;6,4;13,42;300;300;180;1874;1873;816;3;1;1;0;0;0;381;257,33;143,67;9,33;-114,33;-228;65;255,1;107,8;163,1;182;228,8;199,6;297;142,8;141,33;237;215;78;11;7;9;248;222;87;4,44;3,15;10,34;95,56;96,85;89,66;82;15;6;193;237;21;145;255;118;95,93;98,48;93,02;1640;500;100;103;116;106;104;117;110;76,75;72,77;78,54;53,17;46,53;55,43;-36,17;-11,5;-18,13;28,5;59,95;40,4;44,1;44,3;47,6;50,5;66,8;46,3;60,79;NA;26,2;29,74;32,17;3,06;5,89;7,76;8;59,67;95,57;89,57
9C;Non_Addict;3,67;17,33;0,67;0,33;14;-2,67;3,33;17,45;22,3;30,1;29,3;20,85;7,6;9,1;7,7;22,38;120;180;225;531;908;1106;5;1;1;1;1;0;1,33;80,33;54,67;0,67;79,67;54;7,67;16,45;34,3;48,7;92,1;66,9;44,8;68,4;58,7;55,63;147;179;182;12;8;14;159;187;196;7,55;4,28;7,14;92,45;95,72;92,86;39;46;113;90;171;279;84;245;224;7,14;48,25;-100;300;77,97;152,7;120;187;98;128;195;111;25,47;1,06;34,23;18,3;36,7;32,47;9,67;15,3;33,7;12,67;14,55;26,8;31,8;35,2;36,75;33,1;37,6;34,3;32,83;NA;26,75;29,37;30,94;1,35;4,05;5,35;15;26,5;100;88,68
10C;;13,33;11,67;4;4,33;2,67;-5;2,33;20,75;45,3;18,5;9,1;6,7;7,6;3,3;10,6;8,67;300;225;260;1831;1140;1316;4;1;1;2;0;1;37,67;69,67;74;18,33;50,33;54,67;0,83;38,85;52,6;41,9;54,3;66,95;55,7;49,4;63,2;60,96;137;67;150;14;5;5;151;72;155;9,27;6,94;3,23;90,73;93,06;96,77;149;30;68;310;187;205;217;124;225;71,88;75,53;50,96;827,78;130,43;133,33;142;106;10;150;106;10;-21,37;54,11;96,4;24,8;38,07;42,77;-10,5;4,8;18,07;9,5;21,9;30,5;33,1;31,7;38,5;39,8;39,8;49,5;40,96;NA;29,85;32,2;33,83;2,81;5,01;6,01;7;16,67;98,61;90,91
1D;;28,67;13,67;25,67;13;-2;10;6,33;24,4;26,6;29,1;17,9;16,1;16,8;39,4;34,1;22,67;260;260;225;1277;1255;1207;3;1;1;0;0;0;17,33;55,33;72;7;45;61,67;17,17;47,35;34,7;35,4;75,05;74,25;49,6;128,7;94,2;126,13;319;268;250;283;436;412;602;704;662;47,01;61,93;62,24;52,99;38,07;37,76;79;35;354;202;179;493;222;130;235;38,57;79,37;81,58;183,72;269,23;1685,71;16;57;108;26;86;124;90,59;81,61;69,23;36,87;48,47;56,5;-7,67;9,2;20,8;20;35,6;36,3;38,8;46,25;51,9;40,3;52,4;54,2;60,13;NA;27,65;30,94;32,78;-0,39;4,09;5,43;10;37,67;91,82;88,2
2D;;0,67;6,67;4,67;-0,33;5,67;3,67;0,67;3,25;4;12,6;15,6;8,55;12,2;13;13,1;17,63;75;225;260;237;1010;1279;1;4;1;0;1;0;0;56,67;31,33;0;56,67;31,33;0,17;0,8;5,4;28,3;71,2;46;64,9;68,1;51,6;49,92;25;247;135;5;9;5;30;256;140;16,67;3,52;3,57;83,33;96,48;96,43;-1;56;71;11;155;131;23;236;140;-400;57,14;71,83;-10;124,44;355;36;36;182;36;39;184;40,98;72,31;20,52;5,47;25,43;30,47;-0,5;0,97;20,93;4;5,9;5,5;16,9;29,6;25,05;25,8;31,5;30,3;31;NA;26,05;26,66;28,98;-1,82;-0,235;3,43;20;4,67;91,63;90,48
4D;;5,33;0;18,67;-0,17;-5,5;13,17;7,5;16,35;12,5;17,3;15,9;18,65;10,3;6,9;9;12,88;260;350;300;1462;2200;1795;3;1;0;1;0;0;13,67;17,67;37,33;5,67;9,67;29,33;19,83;48,45;37,4;25,9;22,2;43,3;48,1;49;44,3;50,71;116;96;158;18;7;12;134;103;170;13,43;6,8;7,06;86,57;93,2;92,94;53;89;8;119;227;113;88;273;170;-6,25;53,54;17,02;311,76;193,48;20,51;110;201;134;123;219;147;51,33;-2,03;39,91;24,03;25,87;29,93;26,33;14,53;16,37;35,83;23,45;21,5;22;22;28,2;24,1;22,8;25,9;31,5;NA;27,05;28,45;29,8;-0,1;1,315;0,87;15;40,33;94,44;97,8
5D;;4,67;3;16;1,17;-0,5;12,5;0,5;3,8;10;17,6;7,7;16,25;21,5;19,05;23,4;16,71;75;120;225;206;536;1174;1;2;1;1;1;0;2,67;30,67;55,33;0,67;28,67;53,33;5;3;50,1;56,6;53,9;88;101,4;60,05;72,5;80,83;138;257;192;9;255;263;147;512;455;6,12;49,8;57,8;93,88;50,2;42,2;1;72;76;48;252;306;126;227;259;-385,71;52,87;50,55;2,94;175,61;168,89;14;46;45;23;91;74;67,44;86,47;80,35;10,93;32,67;34,2;2,17;8,43;30,17;4,67;4,9;24,9;32,5;27,7;32,3;34;28,7;31,2;35,75;NA;25,23;28,86;31,17;2,2;4,95;6,89;19;21,67;97,55;91,79
7D;Non_Addict;3;7,33;13,33;1,67;6;12;0;18,25;5,6;17,2;10,7;18,05;5;10,5;16,2;7,38;180;155;180;878;669;908;3;0;1;3;0;0;3,67;37,67;57,67;2,67;36,67;56,67;0;31,9;13,4;22,4;19,1;38,55;62,3;81,9;61,3;69,08;69;236;178;7;7;7;76;243;185;9,21;2,88;3,78;90,79;97,12;96,22;53;69;117;132;125;286;39;212;134;-11,11;98,7;82,18;530;3450;650;22;173;143;27;173;150;83,94;-33,08;54,02;16,37;27,77;40,33;0,17;14,7;26,1;1,83;19,75;12,7;21,5;21,1;27,65;30,7;35,8;37,3;41,5;NA;27,33;31,24;34,43;2,71;6,44;8,98;14;27,5;91,05;89,09
8D;;51,67;47,33;17;6,33;2;-28,33;8,83;42,1;33,8;36,9;23,5;35,3;22;28,6;19,7;21,04;225;225;225;1029;1090;1072;7;1;1;7;0;0;63,67;110,67;58,33;17;64;11,67;40,83;69,5;96,4;105,1;80,3;90,8;41,9;102,6;70,7;101,67;346;301;254;207;236;48;553;537;302;37,43;43,95;15,89;62,57;56,05;84,11;192;41;197;398;130;334;222;149;146;21,54;94,29;91,03;376,47;683,33;2814,29;283;163;193;293;170;202;-77,99;39,63;31,8;36,07;32,7;36,53;-3;10,07;6,7;23;34,5;35,4;37,6;29,1;34,05;30,7;36,7;34,6;38;NA;30,07;33,68;39,27;0,94;5,72;9,39;3;25,33;80,59;95,61
13D;Non_Addict;8,33;16,67;15;3;11,33;9,67;11,33;17,45;13;27,5;30,9;20,95;8,6;6,2;19,8;16,79;225;225;155;854;1061;665;5;1;1;2;0;0;12,67;21,33;9;2,67;11,33;-1;52,33;30,65;45,3;14,9;19,7;19,45;35,9;19,9;23,8;37,29;138;220;171;122;105;210;260;325;381;46,92;32,31;55,12;53,08;67,69;44,88;28;69;15;134;179;67;173;155;151;35,85;70;80,72;82,35;287,5;93,75;152;194;124;172;260;145;-7,8;-1,04;28,74;22,47;27,87;29,17;33;11,47;16,87;44;20,8;26;25,8;26,6;27,7;27,8;24,9;27;29,21;NA;25,99;29,98;32,63;1,99;4,94;7,49;5;54;83,02;95,06
3A;;4,67;9,33;8;-2;2,67;1,33;7,33;25,65;19,75;17;7,1;10,65;7,6;10,9;11,8;13,75;155;120;155;679;452;644;4;1;2;1;0;0;18,67;25,33;23;12,67;19,33;17;33,17;102,95;54,8;31,4;28,4;34,2;63,2;68,7;58;50,79;109;165;134;22;43;41;131;208;175;16,79;20,67;23,43;83,21;79,33;76,57;96;20;-14;172;70;75;137;275;201;73,02;97,11;88,55;564,71;400;-93,33;159;158;174;173;166;197;45,17;32,48;15,94;30,93;31,67;32,37;15,33;19,93;20,67;26,33;27,9;30,8;27,1;26,9;29,8;36;39,3;36,2;33,46;NA;27,76;32,85;36,69;2,4;6,95;9,81;5;32,33;91,52;94,5
4A;;40;29;34;12,67;1,67;6,67;6;23;14,2;22,9;13,5;20,7;11,8;11;35,4;26,5;225;260;180;1152;1320;962;0;0;1;0;0;0;49;69,33;77,67;17,33;37,67;46;22,33;51,3;40,4;47,4;129,4;78,4;42,7;49,2;53,5;56,38;216;195;370;15;10;15;231;205;385;6,49;4,88;3,9;93,51;95,12;96,1;17;42;58;172;128;95;229;264;135;-11,36;84,87;82,05;34,69;182,61;414,29;122,94;159;81;138,84;167;87;41,73;35,37;68,11;32;39,77;40,9;-10,33;0,67;8,43;21;34;27,9;32,3;41,6;41,85;32,1;38,1;34,3;41,79;NA;24,41;26,46;27,94;-0,8;0,93;2,6;10;40;98,98;86,67
7A;;42;37;6,67;4,67;-0,33;-30,67;20,83;47,05;47,3;34,3;9,4;38,25;34,3;31,6;14,1;20,54;410;260;180;2382;1367;935;6;1;2;2;1;0;314,67;79,33;41,67;45,67;-189,67;-227,33;134,67;225,8;253,6;199,4;159,5;131,55;138,5;230,3;108;95,88;538;292;397;158;68;28;696;360;425;22,7;18,89;6,59;77,3;81,11;93,41;85;9;-1;460;131;99;560;218;289;18,75;75,61;86,79;65,38;30;-4,76;162;260;153;176;285;167;59,5;37,65;62,86;54,87;46,37;40,9;-8,67;2,87;-5,63;43,33;50,2;58,2;54,7;48,8;47,95;44,9;56,6;40,9;44,88;NA;27,64;31,87;34,29;2,06;5,35;7,3;6;66;98,53;87,88
8A;;0,33;2;0;0;1,67;-0,33;0,5;0,35;0,9;0,7;1,1;4,05;1,1;0,3;0,2;6,38;21;75;180;52;266;757;1;3;3;0;1;0;0;0,33;0;0;0,33;0;0,67;0;0,2;0;0,7;1,55;0,3;0,3;0,2;1;13;35;28;10;12;20;23;47;48;43,48;25,53;41,67;56,52;74,47;58,33;-5;-1;25;3;17;43;17;46;108;-200;-57,14;76,92;-83,33;-9,09;416,67;5;42;54;6;53;55;44,44;46,15;-54,29;1,73;13,4;6,2;7,67;-0,27;11,4;9,67;1,4;1,7;1,1;4,8;16,2;6;6,8;5,1;6,92;NA;27,48;29,78;31,2;1,68;3,58;5,1;20;3;90,78;55,56
6B;;60,33;16;31,33;3,67;-40,67;-25,33;5,83;36,4;38,6;43,2;18,4;26,65;23,1;22,3;23,1;22,42;300;300;225;1819;1616;1004;6;1;1;1;0;0;160,67;133,33;67,67;31;3,67;-62;27;143,15;191,2;201,7;158,4;111,65;74,5;128,3;69,6;110,25;431;223;277;23;37;138;454;260;415;5,07;14,23;33,25;94,93;85,77;66,75;97;61;8;273;130;109;306;282;158;28,43;96,13;67,16;132,88;871,43;36,36;29;96;110;47;103;133;91,34;72,8;71,2;48,53;35,23;44,4;-30,5;2,53;-10,77;15,5;48,9;48;49,8;46,2;36,95;35,7;48,3;41,6;45,08;NA;27,41;30,54;33,69;1,33;4,58;6,75;10;55;98,23;89,09
11B;;12,67;6,67;9,33;-2,67;-8,67;-6;7,83;8,5;18,6;10,3;18,5;12,85;11;12,9;12,8;2,96;51;120;155;152;464;639;4;3;3;0;2;1;11,67;47,33;110;0,67;36,33;99;10,67;11,1;29,1;30,4;73,6;57;62,5;157,3;105;100,17;197;188;236;22;102;226;219;290;462;10,05;35,17;48,92;89,95;64,83;51,08;-12;-12;-6;50;11;15;187;162;163;53,13;88,39;90,53;-40;-92,31;-66,67;47;88;136;56;103;167;68,03;66,79;67,07;20,87;43,17;52,93;2;-0,8;21,5;23,67;17,9;26,6;31,2;36,5;42,75;44,6;56,7;53,4;53,42;NA;27,48;31,75;33,56;0,78;4,66;6,45;9;21,67;96,07;92,82
3C;;46;19;23,33;7;-20;-15,67;2,33;29;30,6;18,2;20;15,4;8,8;15;12,4;16,29;225;225;465;1148;1114;2960;6;2;1;1;1;0;108,33;23;29;32,33;-53;-47;18,83;68,48;48,8;44,3;41,1;33,1;29,9;33,8;42,8;58,13;198;113;287;206;18;129;404;131;416;50,99;13,74;31,01;49,01;86,26;68,99;21;11;296;98;114;571;132;237;450;-260;68,13;68,18;58,33;37,93;604,08;274;221;267;292;232;276;-37,69;-19,46;-1,52;37;30,53;33,97;-24,5;0,67;-5,8;11,83;36,3;36,5;34,8;29,6;30,2;33;35,6;35;35,71;NA;26,98;30,17;31,56;0,34;3,35;4,04;10;45,67;98,64;89,29
6C;;26,67;33,67;12,33;8,33;15,33;-6;0,67;23,05;29,9;38,3;41,2;37,55;25,5;14,3;18,9;18,25;180;630;540;954;4331;3667;3;1;1;1;0;0;120;215,67;221,67;33,33;129;135;9,33;96,9;121;186,1;341,5;201,15;90,7;220,3;125,5;184,29;245;337;439;41;96;288;286;433;727;14,34;22,17;39,61;85,66;77,83;60,39;33;238;19;109;402;117;209;331;172;72;91,71;84,27;157,14;1586,67;135,71;49;337;320;51;349;351;82,93;15,11;21,76;30,37;51,2;43,9;-15,67;6,03;26,87;8,67;30,05;36,6;44,9;56,5;52,7;37,2;44,9;40,4;44,88;NA;26,06;28,62;31,24;0,55;3,11;5,75;10;33;97,63;91,92
12C;;56,33;20;15,33;10;-26,33;-31;2,67;31,9;22,8;39,5;28,9;23,9;11,4;9,1;9;9,75;300;225;90;1816;1127;329;7;6;4;3;0;0;15;47,33;82;-1;31,33;66;4,83;28,75;52,5;72,6;65,7;69;59,5;79,6;82,7;71,42;264;376;253,84;117;203;110,72;381;579;364,56;30,71;35,06;30,37;69,29;64,94;69,63;176;294;3;280;316;7;179;319;114;59,38;94,9;98,55;676,92;2940;300;177;346;246;192;378;273;12,38;-37,85;15,17;28,9;37,8;47,95;-10,67;6,23;15,13;12;26,55;27,7;30,9;32,2;37,7;40,9;44,2;50,1;47,19;NA;27,39;29,42;30,4;1,33;3,3;4,93;6;19;81,75;92,98
14C;;34;32,67;15,67;6;4,67;-12,33;9,5;33,15;27;49,9;46,4;27,4;26,35;12,6;17,4;16,79;225;465;410;1067;2872;2532;7;2;1;1;0;1;29,33;90,33;76,67;-0,33;60,67;47;67,5;30,95;41,6;57,6;64;83,95;75,15;119,5;76,3;104,25;229;54;291;19;14;16;248;68;307;7,66;20,59;5,21;92,34;79,41;94,79;91;14;133;208;32;299;223;102;225;62,77;81,25;55,75;260;155,56;266;177;174;7;216;183;27;16,51;21,97;97,81;32,23;40,8;39,9;8;0,9;9,47;39,33;30,45;36,9;41,2;45,6;42,35;33,25;32;38,6;40,46;NA;28,75;32,46;35,8;2,21;5,5;9,41;9;31,33;94,3;90,07
15C;;9,67;9,33;18,33;-0,33;-0,67;8,33;2,67;9,85;8,5;16,3;15,3;11,75;15,2;11,3;15,3;17,21;120;180;225;454;921;1054;7;3;2;0;0;1;58,67;46;18;-52,33;-65;-93;17,67;53,95;9,8;27,3;46,4;29,35;21,5;27,9;19,4;28,25;44;99;72;18;7;6;62;106;78;29,03;6,6;7,69;70,97;93,4;92,31;4;-46;-17;61;77;68;67;170;178;-28,57;-122,58;40,63;22,22;-66,67;-44,74;47;89;208;47;89;209;44,05;63,37;-4,52;13,57;17,5;24,83;2,17;-4,77;-0,83;20,5;15,45;9,5;14,5;19,1;17,75;17,5;22,5;19,7;26,54;NA;26,68;30,52;31,56;2;5,56;5,9;5;26,33;87,69;90,72
6D;;7,67;44;6,33;0;36,33;-1,33;3,17;18,35;29,4;29,3;25,1;36,45;14,9;21,6;18,1;18,46;120;225;260;552;1094;1324;5;4;5;5;1;1;9,67;41,67;52,67;6,33;38,33;49,33;7,83;7,6;18,1;13,7;16,3;46,9;31,8;47,9;39,2;49,58;271;184;276;179;65;21;450;249;297;39,78;26,1;7,07;60,22;73,9;92,93;59;191;252;207;329;433;183;282;301;39,22;76,13;77,3;190,32;516,22;787,5;242;170;193;279;187;207;-210,26;13,27;30,58;25,73;35,2;42,4;2;12,73;22,2;15;22,7;32,8;31,1;28,7;37;34,7;47,2;40,2;43,58;NA;28,45;32,73;37,39;1,27;6,59;9,56;11;26,67;90,72;86,67
10D;;19,33;34;30,33;14,33;29;25,33;0;25,05;37,7;47,4;41,1;31,4;14,6;10,45;23;24,13;155;300;260;674;1775;1332;2;1;0;2;0;0;74;95;99;26,67;47,67;51,67;0,83;79,8;130,1;86,9;134,4;87,9;136,5;86,7;85;126,63;421;325;236;182;161;481;603;486;717;30,18;33,13;67,09;69,82;66,87;32,91;343;276;59;605;583;256;388;389;203;-63,46;69,32;60,61;403,53;511,11;151,28;122;231;286;143;235;329;34,05;26,2;-13,04;24,2;39,57;33,13;-10,5;11,53;26,9;2,17;21,4;31,8;34,4;39,9;38,05;37,9;35;33,3;34,5;NA;29;32,27;34,52;1,82;5,43;7,91;17;36,33;95,58;93,88
15D;Non_Addict;10,67;10;32,67;7,33;6,67;29,33;0,33;43,6;20;36,3;27,2;7,85;8,5;3,8;23,8;9,04;465;155;300;2484;630;1628;4;1;1;0;0;0;35,67;25,67;83,67;18,67;8,67;66,67;0,5;117,85;105,4;61,3;83;39,55;39,9;41,7;66,8;93,08;202;218;200;20;15;44;222;233;244;9,01;6,44;18,03;90,99;93,56;81,97;147;88;144;317;185;353;114;120;252;-153,85;92;70,45;445,45;1466,67;369,23;18;164;111;42;173;152;95,65;-19,71;51,95;28,3;24,53;32;-1;24,97;21,2;2,33;28,95;29,4;30,6;33,2;24,6;21;28,45;33,5;31,75;NA;30,1;33,63;34,97;2,75;6,25;6,65;13;34,33;95,03;92,88
15A;Addict;21;52,33;37,33;7,33;38,67;23,67;4,83;40,7;30,9;19,4;27;43,45;35,2;46,2;45,3;20,33;300;465;465;1726;3072;3268;4;1;1;0;0;0;100;149;252,33;47;96;199,33;27,5;157,7;152,9;93,9;148;151,25;158,5;181,1;201,1;239,71;152;304;276;231;225;14;383;529;290;60,31;42,53;4,83;39,69;57,47;95,17;168;359;268;333;733;682;214;524;301;57,75;20,75;-52,54;560;284,92;297,78;112;291;184;114;315;199;70,45;-16,87;65,41;33,8;40,8;47,2;2,67;17,13;24,13;19,33;30,4;39,1;30,6;36,8;40,5;40,5;44,8;51,6;47,42;A;27,81;31,56;33,91;-0,18;3,72;4,97;6;32,67;89,15;90,48
11C;Addicted;31,67;27,33;24;7,33;3;-0,33;5,67;36,5;14,9;16;10,5;30,7;11,1;16;8,1;23,13;225;225;300;1035;1119;1865;5;1;2;2;0;0;90,67;127;126;36,67;73;72;41,33;80,45;54,4;74,2;81,9;77,8;88,9;79,6;74,1;90,08;149;377;301;97;20;205;246;397;506;39,43;5,04;40,51;60,57;94,96;59,49;118;38;232;163;175;493;166;175;370;94,25;90,24;21,66;2360;316,67;188,62;135;169;209;147;185;225;8,16;32,4;28,42;39,5;39,03;50;-5,67;0,83;0,37;33;41,85;35,4;34,1;37,5;36,65;46,6;41,6;43,7;50,67;A;29,35;32,35;37,16;2,71;7,57;9,91;8;40,67;92,2;87,43
7B;Addict;45,33;29,33;11,33;20,33;4,33;-13,67;4,5;34,8;47,3;33,1;28,1;35,95;21,9;57,7;18,1;22,5;180;300;350;838;1824;2200;4;2;2;1;0;0;148;182,33;153,33;60,67;95;66;17,67;119,25;184,3;141,6;123,7;114,1;95,4;281;133,9;170,29;486;327;493;7;9;6;493;336;499;1,42;2,68;1,2;98,58;97,32;98,8;155;120;63;474;369;218;495;409;375;46,43;76,33;58,54;147,62;244,9;92,65;175;164;145;188;168;150;50,98;9,89;66,36;37,97;41,47;49,8;-9,67;18,63;22,13;9,67;29,85;45,3;43,7;41,2;41,1;40,5;59,6;44;51,92;A;28,54;32,07;34,38;1,54;4,39;6,22;11;34;97,95;92,16
13B;Addict;43;51;49,33;6;14;12,33;0,67;46,95;55,9;48,1;53,4;55,9;26,4;17,4;9;48,75;350;410;540;2106;2314;3777;4;0;1;0;0;0;93;73,33;137,33;30,67;11;75;4,67;86,3;75,2;40,4;55,8;78,05;69;146,2;93,6;107,38;143;213;528;17;53;152;160;266;680;10,63;19,92;22,35;89,38;80,08;77,65;162;200;78;288;293;226;357;266;227;60,76;84,66;21,62;261,29;800;134,48;123;170;202;142;184;202;33,15;29,75;55,11;31,23;32,17;35,83;-18,17;5,23;6,17;7,83;29,85;33,3;27,3;29,1;34,85;32;39;31,4;36,29;A;26,25;30,03;31,45;1,96;5,74;6,96;10;32,33;86,11;93,13
14B;Addict;31,33;12,67;39,67;7,33;-11,33;15,67;10,17;30,85;27;20,7;16,6;74;20,25;27,81;38,8;49,63;180;300;465;853;1614;3072;7;4;1;5;2;0;19;48;93;12,67;41,67;86,67;31,33;17,9;32,1;45,9;36,1;90,48;21,25;213,53;95,8;137,17;351;128;589;70;19;173;421;147;762;16,63;12,93;22,7;83,37;87,07;77,3;59;-4;96;155;16;282;174;56;285;45,59;33,33;73,86;159,46;-40;417,39;159;127;260;170;155;260;-22,31;30,22;31,03;23,4;32,1;38,63;9,17;6,07;14,77;26,5;21,7;27,8;34,4;29,1;35,7;26,85;39,18;40,6;39,29;A;28,64;33,06;36,18;1,98;6,1;8,56;4;25,33;84,94;92,98
15B;Addict;2,33;35,67;13;-1,33;32;9,33;1,5;5,4;27,3;41,2;18,5;47,35;19,2;33,15;21,2;32,83;90;260;630;313;1388;4455;5;2;2;0;1;0;1;95,33;83,67;-1,33;93;81,33;11,67;3;37,2;61,4;78,8;97,65;116,2;95,2;72,6;140,46;221;407;166;9;5;6;230;412;172;3,91;1,21;3,49;96,09;98,79;96,51;39;344;164;123;623;354;168;289;239;21,28;75,6;84,03;105,41;839,02;713,04;52;258;290;64;258;290;67,9;-1,98;22,04;11,37;38,2;48,1;15,17;8,7;35,53;17,83;4,15;26,8;35,5;35,6;38,8;39,2;46,97;45;49,29;A;26,47;29,4;29,94;1,43;3,65;4,9;6;23,67;90,94;89,67
13C;Addict;41,33;37,33;55;-4,33;-8,33;9,33;7,83;51,2;41,9;41,9;64,6;51,85;27,6;41,55;29,2;49,75;350;730;465;2267;5108;3023;6;5;1;2;1;0;42,67;100;181,33;14,67;72;153,33;25,67;89,5;108,7;75,6;138,3;105,05;132,8;163,4;120,05;75,17;337;219;218;207;5;330;544;224;548;38,05;2,23;60,22;61,95;97,77;39,78;43;290;0;184;432;0;250;272;99;61,39;84,82;100;110,26;1705,88;0;217;307;162;260;333;162;15,23;-18,99;16,49;32,23;38,9;33,6;-2,33;6,9;13,57;23;30,85;33,9;29,9;41,2;41,25;39,4;41,1;35,37;32,58;A;28,02;30,33;32,36;0,27;3,17;4,97;6;35,33;78,98;96,86
11D;Addict;30,33;15,67;8;9;-5,67;-13,33;6,33;31,15;37,4;42,9;13,5;39,75;9,5;13,5;10,8;28,08;300;300;540;1502;1821;3561;5;2;2;5;2;0;58,67;64;54;21,33;26,67;16,67;32,67;75,6;50,1;48,1;66,1;86,95;62,8;78,1;91,8;103,46;214;177;522;261;32;146;475;209;668;54,95;15,31;21,86;45,05;84,69;78,14;216;180;284;347;349;425;134;202;306;44,64;68,42;84,76;696,77;428,57;1136;199;195;246;230;208;268;38,2;25,29;44,97;33,3;42,03;48,93;4;-0,03;8,7;37,33;34,55;28,1;34,2;34,3;43,05;34,2;46,6;49,6;50,5;A;26,16;30,65;33,6;0,13;4,67;8,03;4;44,33;79,8;92,98
12D;Addict;45,67;30;35,67;14,67;-1;4,67;1;35,95;19;21,1;20,3;23,4;11,2;21,6;17,6;14,21;300;410;260;1258;2750;1341;5;2;2;2;0;0;44;79;106,67;14,67;49,67;77,33;7,83;37,95;68,5;47,1;66,3;66,05;72,8;80,6;78,9;88,83;191;195;138;12;8;7;203;203;145;5,91;3,94;4,83;94,09;96,06;95,17;92;60;81;318;161;307;266;196;204;66,25;97,22;6,85;340,74;1500;119,12;288;122;152;291;124;159;-54,01;47,86;48,99;25,43;36,53;39,57;-18,17;-2,23;8,87;9,5;24,55;25,6;29;34,2;36,7;33,2;35,9;41,3;39,54;A;27,98;32,67;34,98;3,2;6,31;7,6;9;30,33;96,83;85,35
